No_of_Apex_classes_Created__c,Complexity_of_Apex_class_change__c,No_of_Aura_Component_Created__c,Complexity_of_Aura_Component_change__c,No_of_LWC_Component_Created__c,Complexity_of_LWC_Component_change__c,No_of_Vf_Page_Created__c,Complexity_of_VF_Page_change__c,No_Of_Configurable_Changes__c,Qa_Complexity__c,Qa_TestCases__c,Story_Point__c,
0,0,0,0,0,0,1,1,0,1,4,2,
0,0,0,0,0,0,1,2,0,1,5,2,
0,0,0,0,0,0,1,3,0,2,4,2,
0,0,0,0,0,0,1,4,0,3,7,3,
0,0,0,0,0,0,1,5,0,2,5,3,
0,0,0,0,0,0,1,1,1,1,4,2,
0,0,0,0,0,0,1,2,2,1,5,2,
0,0,0,0,0,0,1,3,3,2,4,2,
0,0,0,0,0,0,1,4,3,3,7,3,
0,0,0,0,0,0,1,5,3,3,7,3,
0,0,0,0,0,0,2,1,0,2,9,3,
0,0,0,0,0,0,2,2,0,2,7,3,
0,0,0,0,0,0,2,3,0,2,7,3,
0,0,0,0,0,0,2,4,0,2,7,3,
0,0,0,0,0,0,2,5,0,2,7,3,
0,0,0,0,0,0,2,1,4,2,7,3,
0,0,0,0,0,0,2,2,5,2,7,3,
0,0,0,0,0,0,2,3,2,2,7,3,
0,0,0,0,0,0,2,4,1,2,7,3,
0,0,0,0,0,0,2,5,2,2,7,3,
0,0,0,0,0,0,3,1,0,2,9,3,
0,0,0,0,0,0,3,2,0,2,9,3,
0,0,0,0,0,0,3,3,0,2,9,3,
0,0,0,0,0,0,3,4,0,2,9,5,
0,0,0,0,0,0,3,5,0,2,9,5,
0,0,0,0,0,0,3,1,2,2,9,3,
0,0,0,0,0,0,3,2,5,2,9,3,
0,0,0,0,0,0,3,3,5,2,9,5,
0,0,0,0,0,0,3,4,3,2,9,5,
0,0,0,0,0,0,3,5,5,2,9,5,
0,0,0,0,0,0,4,1,0,3,3,3,
0,0,0,0,0,0,4,2,0,3,3,3,
0,0,0,0,0,0,4,1,0,3,8,3,
0,0,0,0,0,0,4,2,0,3,8,3,
0,0,0,0,0,0,4,3,0,3,5,5,
0,0,0,0,0,0,4,4,0,3,5,5,
0,0,0,0,0,0,4,5,0,3,5,5,
0,0,0,0,0,0,4,1,0,4,10,5,
0,0,0,0,0,0,4,2,0,4,10,5,
0,0,0,0,0,0,4,3,0,4,10,5,
0,0,0,0,0,0,4,4,0,4,12,5,
0,0,0,0,0,0,4,5,0,4,15,5,
0,0,0,0,0,0,4,1,1,3,3,3,
0,0,0,0,0,0,4,2,2,3,3,3,
0,0,0,0,0,0,4,1,3,3,8,3,
0,0,0,0,0,0,4,2,3,3,8,3,
0,0,0,0,0,0,4,3,3,3,5,5,
0,0,0,0,0,0,4,4,3,3,5,5,
0,0,0,0,0,0,4,5,3,3,5,5,
0,0,0,0,0,0,4,1,3,4,10,5,
0,0,0,0,0,0,4,2,3,4,10,5,
0,0,0,0,0,0,4,3,3,4,10,8,
0,0,0,0,0,0,4,4,3,4,12,8,
0,0,0,0,0,0,4,5,3,4,15,8,
0,0,0,0,0,0,5,2,0,2,10,3,
0,0,0,0,0,0,5,3,0,2,10,5,
0,0,0,0,0,0,5,4,0,2,10,8,
0,0,0,0,0,0,5,5,0,2,10,8,
0,0,0,0,0,0,5,2,1,2,10,3,
0,0,0,0,0,0,5,3,1,2,10,5,
0,0,0,0,0,0,5,4,1,2,10,8,
0,0,0,0,0,0,5,5,1,2,10,8,
0,0,0,0,0,0,5,2,2,2,10,3,
0,0,0,0,0,0,5,3,2,2,10,5,
0,0,0,0,0,0,5,4,2,2,10,8,
0,0,0,0,0,0,5,5,2,2,10,8,
0,0,0,0,0,0,5,2,3,2,10,3,
0,0,0,0,0,0,5,3,3,2,10,5,
0,0,0,0,0,0,5,4,3,2,10,8,
0,0,0,0,0,0,5,5,3,2,10,8,
0,0,0,0,0,0,5,2,4,2,10,5,
0,0,0,0,0,0,5,3,4,2,10,5,
0,0,0,0,0,0,5,4,4,2,10,8,
0,0,0,0,0,0,5,5,4,2,10,8,
0,0,0,0,0,0,5,2,5,2,10,5,
0,0,0,0,0,0,5,3,5,2,10,5,
0,0,0,0,0,0,5,4,5,2,10,8,
0,0,0,0,0,0,5,5,5,2,10,8,
0,0,0,0,1,2,0,0,0,2,5,2,
0,0,0,0,1,3,0,0,0,2,5,2,
0,0,0,0,1,4,0,0,0,2,7,5,
0,0,0,0,1,5,0,0,0,2,7,5,
0,0,0,0,1,2,0,0,1,2,5,2,
0,0,0,0,1,3,0,0,1,2,5,2,
0,0,0,0,1,4,0,0,1,2,7,5,
0,0,0,0,1,5,0,0,1,2,7,5,
0,0,0,0,1,2,0,0,2,2,5,3,
0,0,0,0,1,3,0,0,2,2,5,3,
0,0,0,0,1,4,0,0,2,2,7,5,
0,0,0,0,1,5,0,0,2,2,7,5,
0,0,0,0,1,2,0,0,3,2,5,3,
0,0,0,0,1,3,0,0,3,2,5,3,
0,0,0,0,1,4,0,0,3,2,7,5,
0,0,0,0,1,5,0,0,3,2,7,5,
0,0,0,0,1,2,0,0,4,2,5,3,
0,0,0,0,1,3,0,0,4,2,5,5,
0,0,0,0,1,4,0,0,4,2,7,5,
0,0,0,0,1,5,0,0,4,2,7,5,
0,0,0,0,1,2,0,0,5,2,5,3,
0,0,0,0,1,3,0,0,5,2,5,3,
0,0,0,0,1,4,0,0,5,2,7,5,
0,0,0,0,1,5,0,0,5,2,7,5,
0,0,0,0,2,2,0,0,0,2,5,3,
0,0,0,0,2,2,0,0,0,5,10,5,
0,0,0,0,2,3,0,0,0,2,5,3,
0,0,0,0,2,3,0,0,0,5,10,5,
0,0,0,0,2,4,0,0,0,2,5,5,
0,0,0,0,2,4,0,0,0,5,10,5,
0,0,0,0,2,5,0,0,0,2,5,5,
0,0,0,0,2,5,0,0,0,5,10,5,
0,0,0,0,3,2,0,0,0,3,8,5,
0,0,0,0,3,2,0,0,0,5,15,5,
0,0,0,0,3,3,0,0,0,3,8,5,
0,0,0,0,3,3,0,0,0,5,15,5,
0,0,0,0,3,4,0,0,0,3,8,8,
0,0,0,0,3,4,0,0,0,5,15,8,
0,0,0,0,3,5,0,0,0,3,8,8,
0,0,0,0,3,5,0,0,0,5,15,8,
0,0,0,0,4,2,0,0,0,3,8,5,
0,0,0,0,4,2,0,0,0,5,15,5,
0,0,0,0,4,3,0,0,0,3,8,8,
0,0,0,0,4,3,0,0,0,5,15,8,
0,0,0,0,4,4,0,0,0,3,8,8,
0,0,0,0,4,4,0,0,0,5,15,8,
0,0,0,0,4,5,0,0,0,3,8,13,
0,0,0,0,4,5,0,0,0,5,15,13,
0,0,0,0,5,2,0,0,0,3,8,5,
0,0,0,0,5,2,0,0,0,5,15,5,
0,0,0,0,5,3,0,0,0,3,8,8,
0,0,0,0,5,3,0,0,0,5,15,8,
0,0,0,0,5,4,0,0,0,3,8,13,
0,0,0,0,5,4,0,0,0,5,15,13,
0,0,0,0,5,5,0,0,0,3,8,13,
0,0,0,0,5,5,0,0,0,5,15,13,
0,0,0,0,2,2,0,0,1,2,5,3,
0,0,0,0,2,2,0,0,1,5,10,5,
0,0,0,0,2,3,0,0,1,2,5,3,
0,0,0,0,2,3,0,0,1,5,10,5,
0,0,0,0,2,4,0,0,1,2,5,5,
0,0,0,0,2,4,0,0,1,5,10,5,
0,0,0,0,2,5,0,0,1,2,5,5,
0,0,0,0,2,5,0,0,1,5,10,5,
0,0,0,0,3,2,0,0,1,3,8,5,
0,0,0,0,3,2,0,0,1,5,15,5,
0,0,0,0,3,3,0,0,1,3,8,5,
0,0,0,0,3,3,0,0,1,5,15,5,
0,0,0,0,3,4,0,0,1,3,8,8,
0,0,0,0,3,4,0,0,1,5,15,8,
0,0,0,0,3,5,0,0,1,3,8,8,
0,0,0,0,3,5,0,0,1,5,15,8,
0,0,0,0,4,2,0,0,1,3,8,5,
0,0,0,0,4,2,0,0,1,5,15,5,
0,0,0,0,4,3,0,0,1,3,8,8,
0,0,0,0,4,3,0,0,1,5,15,8,
0,0,0,0,4,4,0,0,1,3,8,8,
0,0,0,0,4,4,0,0,1,5,15,8,
0,0,0,0,4,5,0,0,1,3,8,13,
0,0,0,0,4,5,0,0,1,5,15,13,
0,0,0,0,5,2,0,0,1,3,8,5,
0,0,0,0,5,2,0,0,1,5,15,5,
0,0,0,0,5,3,0,0,1,3,8,8,
0,0,0,0,5,3,0,0,1,5,15,8,
0,0,0,0,5,4,0,0,1,3,8,13,
0,0,0,0,5,4,0,0,1,5,15,13,
0,0,0,0,5,5,0,0,1,3,8,13,
0,0,0,0,5,5,0,0,1,5,15,13,
0,0,0,0,2,2,0,0,2,2,5,3,
0,0,0,0,2,2,0,0,2,5,10,5,
0,0,0,0,2,3,0,0,2,2,5,3,
0,0,0,0,2,3,0,0,2,5,10,5,
0,0,0,0,2,4,0,0,2,2,5,5,
0,0,0,0,2,4,0,0,2,5,10,5,
0,0,0,0,2,5,0,0,2,2,5,5,
0,0,0,0,2,5,0,0,2,5,10,5,
0,0,0,0,3,2,0,0,2,3,8,5,
0,0,0,0,3,2,0,0,2,5,15,5,
0,0,0,0,3,3,0,0,2,3,8,5,
0,0,0,0,3,3,0,0,2,5,15,5,
0,0,0,0,3,4,0,0,2,3,8,8,
0,0,0,0,3,4,0,0,2,5,15,8,
0,0,0,0,3,5,0,0,2,3,8,8,
0,0,0,0,3,5,0,0,2,5,15,8,
0,0,0,0,4,2,0,0,2,3,8,5,
0,0,0,0,4,2,0,0,2,5,15,5,
0,0,0,0,4,3,0,0,2,3,8,8,
0,0,0,0,4,3,0,0,2,5,15,8,
0,0,0,0,4,4,0,0,2,3,8,8,
0,0,0,0,4,4,0,0,2,5,15,8,
0,0,0,0,4,5,0,0,2,3,8,13,
0,0,0,0,4,5,0,0,2,5,15,13,
0,0,0,0,5,2,0,0,2,3,8,5,
0,0,0,0,5,2,0,0,2,5,15,5,
0,0,0,0,5,3,0,0,2,3,8,8,
0,0,0,0,5,3,0,0,2,5,15,8,
0,0,0,0,5,4,0,0,2,3,8,13,
0,0,0,0,5,4,0,0,2,5,15,13,
0,0,0,0,5,5,0,0,2,3,8,13,
0,0,0,0,5,5,0,0,2,5,15,13,
0,0,0,0,2,2,0,0,3,2,5,3,
0,0,0,0,2,2,0,0,3,5,10,5,
0,0,0,0,2,3,0,0,3,2,5,3,
0,0,0,0,2,3,0,0,3,5,10,5,
0,0,0,0,2,4,0,0,3,2,5,5,
0,0,0,0,2,4,0,0,3,5,10,5,
0,0,0,0,2,5,0,0,3,2,5,5,
0,0,0,0,2,5,0,0,3,5,10,5,
0,0,0,0,3,2,0,0,3,3,8,5,
0,0,0,0,3,2,0,0,3,5,15,5,
0,0,0,0,3,3,0,0,3,3,8,5,
0,0,0,0,3,3,0,0,3,5,15,5,
0,0,0,0,3,4,0,0,3,3,8,8,
0,0,0,0,3,4,0,0,3,5,15,8,
0,0,0,0,3,5,0,0,3,3,8,8,
0,0,0,0,3,5,0,0,3,5,15,8,
0,0,0,0,4,2,0,0,3,3,8,5,
0,0,0,0,4,2,0,0,3,5,15,5,
0,0,0,0,4,3,0,0,3,3,8,8,
0,0,0,0,4,3,0,0,3,5,15,8,
0,0,0,0,4,4,0,0,3,3,8,8,
0,0,0,0,4,4,0,0,3,5,15,8,
0,0,0,0,4,5,0,0,3,3,8,13,
0,0,0,0,4,5,0,0,3,5,15,13,
0,0,0,0,5,2,0,0,3,3,8,5,
0,0,0,0,5,2,0,0,3,5,15,5,
0,0,0,0,5,3,0,0,3,3,8,8,
0,0,0,0,5,3,0,0,3,5,15,8,
0,0,0,0,5,4,0,0,3,3,8,13,
0,0,0,0,5,4,0,0,3,5,15,13,
0,0,0,0,5,5,0,0,3,3,8,13,
0,0,0,0,5,5,0,0,3,5,15,13,
0,0,0,0,2,2,0,0,4,2,5,5,
0,0,0,0,2,2,0,0,4,5,10,5,
0,0,0,0,2,3,0,0,4,2,5,5,
0,0,0,0,2,3,0,0,4,5,10,5,
0,0,0,0,2,4,0,0,4,2,5,5,
0,0,0,0,2,4,0,0,4,5,10,5,
0,0,0,0,2,5,0,0,4,2,5,5,
0,0,0,0,2,5,0,0,4,5,10,5,
0,0,0,0,3,2,0,0,4,3,8,5,
0,0,0,0,3,2,0,0,4,5,15,5,
0,0,0,0,3,3,0,0,4,3,8,5,
0,0,0,0,3,3,0,0,4,5,15,5,
0,0,0,0,3,4,0,0,4,3,8,8,
0,0,0,0,3,4,0,0,4,5,15,8,
0,0,0,0,3,5,0,0,4,3,8,8,
0,0,0,0,3,5,0,0,4,5,15,8,
0,0,0,0,4,2,0,0,4,3,8,5,
0,0,0,0,4,2,0,0,4,5,15,5,
0,0,0,0,4,3,0,0,4,3,8,8,
0,0,0,0,4,3,0,0,4,5,15,8,
0,0,0,0,4,4,0,0,4,3,8,8,
0,0,0,0,4,4,0,0,4,5,15,8,
0,0,0,0,4,5,0,0,4,3,8,13,
0,0,0,0,4,5,0,0,4,5,15,13,
0,0,0,0,5,2,0,0,4,3,8,5,
0,0,0,0,5,2,0,0,4,5,15,5,
0,0,0,0,5,3,0,0,4,3,8,8,
0,0,0,0,5,3,0,0,4,5,15,8,
0,0,0,0,5,4,0,0,4,3,8,13,
0,0,0,0,5,4,0,0,4,5,15,13,
0,0,0,0,5,5,0,0,4,3,8,13,
0,0,0,0,5,5,0,0,4,5,15,13,
0,0,0,0,2,2,0,0,5,2,5,5,
0,0,0,0,2,2,0,0,5,5,10,5,
0,0,0,0,2,3,0,0,5,2,5,5,
0,0,0,0,2,3,0,0,5,5,10,5,
0,0,0,0,2,4,0,0,5,2,5,5,
0,0,0,0,2,4,0,0,5,5,10,5,
0,0,0,0,2,5,0,0,5,2,5,8,
0,0,0,0,2,5,0,0,5,5,10,8,
0,0,0,0,3,2,0,0,5,3,8,8,
0,0,0,0,3,2,0,0,5,5,15,8,
0,0,0,0,3,3,0,0,5,3,8,8,
0,0,0,0,3,3,0,0,5,5,15,8,
0,0,0,0,3,4,0,0,5,3,8,8,
0,0,0,0,3,4,0,0,5,5,15,8,
0,0,0,0,3,5,0,0,5,3,8,8,
0,0,0,0,3,5,0,0,5,5,15,8,
0,0,0,0,4,2,0,0,5,3,8,5,
0,0,0,0,4,2,0,0,5,5,15,5,
0,0,0,0,4,3,0,0,5,3,8,8,
0,0,0,0,4,3,0,0,5,5,15,8,
0,0,0,0,4,4,0,0,5,3,8,8,
0,0,0,0,4,4,0,0,5,5,15,8,
0,0,0,0,4,5,0,0,5,3,8,13,
0,0,0,0,4,5,0,0,5,5,15,13,
0,0,0,0,5,2,0,0,5,3,8,8,
0,0,0,0,5,2,0,0,5,5,15,8,
0,0,0,0,5,3,0,0,5,3,8,8,
0,0,0,0,5,3,0,0,5,5,15,8,
0,0,0,0,5,4,0,0,5,3,8,13,
0,0,0,0,5,4,0,0,5,5,15,13,
0,0,0,0,5,5,0,0,5,3,8,13,
0,0,0,0,5,5,0,0,5,5,15,13,
